SK_ID_CURR,DAYS_BIRTH,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_EMPLOYED,SCORE,TARGET
100001,-14507,18996,139968,3328,-3274,0.9036049470479647,1
100002,-24876,10475,406500,2445,-10557,0.8798060987179851,1
100003,-20705,1317,468065,3141,-4208,0.9960654363601391,1
100004,-7545,12707,251208,1768,-2236,0.8884855787401433,1
100005,-14788,19286,159319,3528,-7800,0.8657508045944549,1
100006,-22357,3850,66867,4913,-8897,0.9025949343592532,1
100007,-12137,6342,304164,1591,-11704,0.8963322361492851,1
100008,-23871,18449,344805,4034,-3694,0.8861494788855674,1
100009,-10934,8674,257291,4404,-14161,0.8241009467830152,1
100010,-7958,10276,392230,4986,-323,0.9971222741561039,1
100011,-17453,9150,430099,3306,-6219,0.8659040452869308,1
100012,-10590,15400,430896,4636,-6849,0.8462338066727612,1
100013,-15486,12696,261723,3402,-4612,0.817238210087952,1
100014,-14299,13765,399845,4919,-4922,0.843778089587788,1
100015,-20867,11190,85478,3466,-10715,0.8874618293936373,1
100016,-10484,5416,200758,4663,-13594,0.905803629020908,1
100017,-16716,8582,218136,2497,-8232,0.893212968004418,1
100018,-10767,6751,143479,3124,-6179,0.8750191143522726,1
100019,-20332,14487,418837,3547,-3921,0.8519999431673103,1
100020,-25256,17982,292071,3097,-11107,0.7961262617796528,0
100021,-9500,10811,130427,4509,-3018,0.8770808649729755,1
100022,-13783,5007,494229,249,-8287,0.8258639588199751,1
100023,-12302,11332,16859,4491,-6355,0.38043583130655056,0
100024,-15856,8179,431351,4824,-3186,0.8621017334455235,1
100025,-21615,14701,301453,1758,-5545,0.9042854739684185,1
100026,-14207,11748,11454,2985,-12605,0.2428397241743452,0
100027,-9129,9921,474307,3269,-12239,0.8151406265730186,1
100028,-25505,19923,241666,1527,-516,0.8953470689165917,1
100029,-20741,12764,39820,1514,-4425,0.5841543012603538,0
100030,-23274,5537,434823,4300,-3072,0.8361370391553322,1
100031,-14249,17222,75192,2038,-6906,0.8006419166474122,1
100032,-13920,9507,19112,2771,-2154,0.35432068130575445,0
100033,-10989,19657,30602,470,-8784,0.2553517501198843,0
100034,-10263,6165,262978,3102,-13694,0.8757835992618265,1
100035,-17224,14084,145714,1930,-4656,0.7941675952616309,0
100036,-9567,19717,228378,2202,-8073,0.7787038784556545,0
100037,-9493,11984,276351,1888,-5607,0.8091248507413966,1
100038,-8273,18631,130071,223,-13941,0.9202170234812838,1
100039,-9909,18751,302747,3252,-5330,0.8595856405134468,1
100040,-8703,7472,90233,554,-8264,0.9225245668091637,1
100041,-18111,7758,441873,2554,-1703,0.8978820428521244,1
100042,-24645,8219,446630,675,-3118,0.8069440750057117,1
100043,-13167,19426,129826,3057,-5518,0.836884678260164,1
100044,-12258,19087,359534,644,-7947,0.8306468336999486,1
100045,-14681,1429,20144,1944,-4846,0.9054844659793385,1
100046,-10722,11525,405613,4554,-3978,0.7957465377667164,0
100047,-16711,9901,197102,4222,-6849,0.8508432978144511,1
100048,-13773,1406,143782,3592,-377,1.0884628826429588,1
100049,-19406,19552,374279,2632,-2073,0.8525096462207506,1
100050,-18693,7944,25304,703,-11558,0.5673755361056845,0
100051,-20128,11195,335729,2384,-3275,0.8724635779850124,1
100052,-25540,14149,119845,3742,-13469,0.8812247479450994,1
