SK_ID_BUREAU,SK_ID_CURR,CREDIT_ACTIVE,AMT_CREDIT_SUM,DAYS_CREDIT
300001,101923,Closed,46781,-364
300002,102746,Active,31527,-1277
300003,104466,Active,87988,-1017
300004,103051,Active,71903,-479
300005,104443,Active,139738,-1552
300006,107348,Active,73556,-1229
300007,103877,Active,79715,-1734
300008,105332,Active,137613,-1941
300009,105747,Active,139389,-568
300010,101954,Active,5114,-1153
300011,104921,Active,165575,-202
300012,106944,Active,115040,-1141
300013,102544,Active,119380,-1562
300014,102831,Closed,75271,-592
300015,102537,Closed,22996,-1434
300016,101669,Closed,148169,-1460
300017,103737,Active,113052,-961
300018,107724,Closed,168708,-533
300019,104392,Closed,17015,-1438
300020,102202,Active,137863,-178
300021,105931,Active,31377,-1728
300022,104981,Closed,122634,-980
300023,101068,Active,174883,-178
300024,105818,Active,115775,-1040
300025,103409,Closed,139475,-270
300026,105286,Closed,117757,-1341
300027,107526,Closed,21364,-1033
300028,101989,Closed,166267,-1200
300029,104538,Closed,110184,-1448
300030,107661,Closed,51796,-818
300031,102728,Closed,164075,-1169
300032,100329,Closed,6693,-551
300033,103055,Closed,199676,-356
300034,102750,Closed,125978,-1934
300035,106180,Active,93667,-1736
300036,104751,Closed,158590,-618
300037,106241,Closed,186955,-1806
300038,102898,Active,65938,-147
300039,105734,Active,103847,-1338
300040,101270,Active,48640,-1079
300041,103315,Active,89304,-1158
300042,106405,Closed,151164,-104
300043,106473,Closed,180776,-1929
300044,106513,Active,101766,-880
300045,102856,Active,47315,-773
300046,103690,Active,187816,-16
300047,104428,Active,183994,-1171
300048,101835,Active,154962,-1675
300049,103006,Active,100274,-248
300050,101924,Closed,136554,-76
300051,102937,Active,60713,-72
300052,101989,Active,128201,-782
300053,106522,Active,118972,-125
300054,100979,Closed,199764,-959
300055,102518,Active,83589,-1870
300056,103911,Closed,68371,-1831
300057,102482,Active,127581,-1502
300058,106473,Closed,849,-1065
300059,106863,Closed,92473,-1954
300060,102366,Closed,171835,-1151
300061,105257,Closed,41223,-593
300062,104215,Closed,71243,-604
300063,105422,Active,131076,-72
300064,104836,Closed,150374,-983
300065,103042,Closed,6623,-355
300066,102367,Active,45157,-1880
300067,102262,Closed,36903,-1532
300068,101255,Closed,141432,-9
300069,101548,Closed,157482,-1179
300070,101973,Closed,192170,-1398
300071,102234,Closed,186189,-1080
300072,104190,Closed,21612,-1309
300073,102353,Closed,123567,-463
300074,107368,Closed,28927,-1981
300075,101074,Active,84244,-1930
300076,107533,Closed,62095,-1565
300077,100640,Closed,197658,-1638
300078,101520,Active,182249,-392
300079,105112,Active,24096,-597
300080,106921,Active,169679,-442
300081,106822,Closed,167743,-363
300082,101925,Closed,86202,-1922
300083,101325,Closed,53274,-1026
300084,104464,Closed,14833,-761
300085,102630,Closed,7013,-1484
300086,105375,Active,156432,0
300087,107294,Active,48588,-1895
300088,107527,Active,32907,-1017
300089,102726,Active,27637,-1602
300090,105870,Active,95952,-147
300091,102420,Closed,140407,-1113
300092,104557,Active,47246,-45
300093,107647,Closed,164576,-273
300094,103095,Active,82162,-504
300095,107862,Closed,33694,-1421
300096,103413,Active,187507,-1968
300097,104059,Active,130019,-162
300098,101293,Active,92425,-58
300099,105909,Active,85457,-1947
300100,103147,Active,144771,-1793
300101,104701,Active,103845,-812
300102,105400,Closed,8072,-1089
300103,100142,Active,5640,-206
300104,101083,Closed,133129,-1739
300105,103096,Active,186939,-65
300106,104669,Closed,151004,-529
300107,106485,Closed,153262,-134
300108,104396,Active,14922,-676
300109,105203,Active,137193,-1671
300110,101516,Active,198328,-1037
300111,107467,Closed,5443,-992
300112,104766,Active,198142,-1462
300113,107324,Closed,182128,-952
300114,107718,Closed,183020,-1805
300115,103548,Active,195193,-782
300116,106819,Closed,173598,-129
300117,105000,Closed,39068,-625
300118,105387,Closed,169413,-898
300119,106652,Closed,14591,-514
300120,100688,Closed,16140,-634
300121,101271,Closed,13149,-1556
300122,107029,Active,74663,-1433
300123,107416,Closed,49251,-824
300124,107839,Active,144313,-473
300125,105308,Active,23995,-193
300126,106767,Active,74042,-976
300127,104495,Closed,157485,-1877
300128,102337,Active,57576,-1752
300129,101600,Closed,59690,-194
300130,105899,Active,39902,-982
300131,100033,Active,142984,-1472
300132,100050,Active,181968,-570
300133,107170,Closed,15442,-60
300134,107042,Active,35858,-751
300135,101596,Active,180864,-29
300136,100259,Closed,30717,-274
300137,100440,Active,32133,-197
300138,107279,Closed,34471,-1817
300139,106969,Closed,106023,-523
300140,103536,Closed,82804,-721
300141,101867,Closed,96223,-627
300142,107358,Closed,12792,-771
300143,100582,Active,98253,-1720
300144,101681,Active,23770,-1564
300145,100522,Closed,59998,-112
300146,105633,Active,198551,-347
300147,105626,Active,38667,-1282
300148,104665,Active,178701,-333
300149,102399,Closed,178909,-1849
300150,107316,Active,92084,-1800
300151,104044,Active,151184,-1094
300152,106363,Closed,23802,-390
300153,100841,Closed,139203,-1018
300154,107336,Closed,49202,-973
300155,103372,Closed,141213,-1112
300156,102132,Active,150665,-1534
300157,107519,Closed,148730,-431
300158,101874,Active,29115,-771
300159,102951,Active,46072,-1725
300160,105629,Closed,171992,-1379
300161,105972,Active,191932,-1962
300162,101782,Active,71079,-1166
300163,103463,Active,67416,-1084
300164,105242,Closed,142163,-1691
300165,103070,Active,172492,-1580
300166,106137,Active,108349,-117
300167,105860,Active,107920,-157
300168,103843,Closed,122852,-1686
300169,107181,Active,77240,-736
