SK_ID_CURR,AMT_INSTALMENT,AMT_PAYMENT,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT
103946,4059,2183,-211,-1280
100414,848,365,-408,-875
105591,1046,4615,-1088,-626
100790,2701,3329,-1123,-996
101154,1099,3501,-120,-316
106380,3854,2965,-893,-1293
100767,3944,2503,-664,-16
102489,2085,1209,-238,-215
107881,4065,907,-729,-134
102080,3553,3421,-86,-49
105350,2771,1955,-546,-1282
102773,2370,2496,-373,-1080
104173,3776,3013,-574,-470
102745,3599,4016,-1377,-1367
106036,3443,245,-1458,-321
100763,4487,1243,-1042,-950
100955,3283,2081,-100,-1014
101679,3136,4891,-473,-301
106696,2540,1202,-581,-1016
106470,658,2129,-221,-625
104417,476,1598,-1297,-742
102349,2780,749,-245,-637
101731,2724,3242,-1250,-911
105495,2684,1907,-293,-1308
103409,4731,4534,-149,-1159
104928,1463,835,-381,-59
106053,1737,2278,-608,-18
104842,3249,1619,-634,-280
100043,625,1063,-1081,-975
106552,3541,4106,-997,-230
101953,562,1328,-173,-818
104389,2873,1079,-273,-248
101006,2415,2287,-1331,-1012
107073,650,2530,-783,-71
100607,111,2231,-1224,-1055
103690,4974,2919,-731,-1177
101938,464,424,-986,-197
104915,4846,4307,-1154,-1483
107492,681,2397,-1185,-910
101947,1570,1918,-112,-1438
106789,1319,3921,-853,-1400
100168,1295,4489,-610,-1281
105032,1659,941,-860,-888
105474,3553,803,-982,-927
107602,4883,332,-1471,-820
100149,4255,817,-1079,-187
101171,1738,541,-161,-79
102983,859,1904,-391,-1352
104016,2203,1118,-435,-1009
106335,396,2677,-1184,-1421
107196,4235,912,-878,-1177
106969,1240,2398,-559,-390
104532,1612,4769,-557,-593
107842,3997,3953,-301,-783
103419,4072,4783,-376,-241
102441,2966,3643,-115,-1299
107539,1266,4616,-389,-1050
103212,4401,3092,-542,-1086
105243,4902,597,-1085,-625
103251,191,474,-1078,-142
105411,701,3627,-649,-631
104667,3281,2667,-48,-56
101151,2958,1785,-1449,-1204
104024,2004,4017,-1485,-204
102441,4914,713,-861,-961
101108,1265,1150,-146,-892
106891,2595,2937,-897,-1403
106927,695,1712,-1231,-792
104067,3878,4181,-453,-338
100206,787,1423,-259,-340
102001,1632,1689,-1168,-862
107818,974,2870,-957,-525
102856,1035,3591,-577,-614
106974,218,2855,-597,-727
103913,4894,4434,-291,-1400
101472,4686,2875,-1126,-946
101033,3000,3002,-747,-1450
107719,393,2059,-1145,-455
105804,2812,3614,-394,-835
106809,2396,1254,-909,-1234
107304,4380,4662,-878,-1256
105749,4659,1402,-807,-875
106026,3731,3687,-102,-491
102635,848,1450,-408,-1447
102055,2125,1361,-900,-371
101210,2607,4345,-1426,-200
107234,3919,2192,-988,-751
101670,3800,1816,-460,-342
102204,4468,2232,-241,-1245
100171,224,1109,-1056,-19
