SK_ID_PREV,SK_ID_CURR,AMT_APPLICATION,AMT_CREDIT,NAME_CONTRACT_STATUS
400001,103104,286105,63779,Refused
400002,102221,30093,275039,Refused
400003,101445,198247,163785,Refused
400004,102965,100221,279585,Approved
400005,107293,142216,185933,Refused
400006,105417,296790,154879,Refused
400007,100834,134329,10421,Approved
400008,100180,183090,112200,Approved
400009,100183,115284,175259,Refused
400010,103073,141877,295611,Refused
400011,106274,208431,21731,Refused
400012,103061,67516,50077,Refused
400013,107861,72808,195830,Approved
400014,100189,155508,274234,Approved
400015,106369,100779,272273,Approved
400016,103821,272991,244206,Refused
400017,102148,153537,115657,Approved
400018,103237,228723,39676,Refused
400019,105016,2302,285805,Approved
400020,104408,262837,52463,Refused
400021,101639,90849,33499,Refused
400022,105495,292411,171334,Refused
400023,103759,99304,295496,Refused
400024,100217,68062,270113,Approved
400025,104552,71628,92985,Approved
400026,103515,78439,86330,Approved
400027,104341,261806,30581,Approved
400028,105419,199083,258055,Refused
400029,107161,13098,242112,Refused
400030,105106,2528,191173,Approved
400031,101332,117974,218176,Refused
400032,100311,51190,214384,Refused
400033,107628,228456,27158,Approved
400034,103473,102454,257880,Approved
400035,103591,49049,107995,Refused
400036,105357,272290,289525,Approved
400037,104933,33080,298760,Approved
400038,107469,114623,234012,Approved
400039,107042,284361,30417,Approved
400040,101626,171344,175350,Approved
400041,107009,229669,119544,Refused
400042,103459,126789,91189,Refused
400043,107317,272104,152069,Approved
400044,100084,52692,49968,Approved
400045,101353,216040,166853,Refused
400046,104188,220470,6897,Approved
400047,101779,274012,229336,Approved
400048,102813,26913,261862,Refused
400049,106866,82295,81493,Refused
400050,107730,3002,175328,Refused
400051,103813,91630,10048,Approved
400052,100936,200104,100476,Refused
400053,105958,66164,52715,Refused
400054,105214,256396,149377,Approved
400055,103045,226626,194530,Refused
400056,104625,149919,257256,Refused
400057,105344,62652,297097,Approved
400058,103754,104124,38686,Refused
400059,103487,212569,186954,Refused
400060,106982,39367,225278,Approved
400061,107600,36471,218265,Refused
400062,105366,227104,128088,Refused
400063,107055,178772,66616,Approved
400064,105603,5987,168845,Refused
400065,105916,66656,225671,Approved
400066,107186,152805,295610,Refused
400067,106280,214621,58419,Approved
400068,102574,277928,86872,Refused
400069,105637,181311,173162,Approved
400070,106134,55254,222957,Approved
400071,101319,206948,65500,Approved
400072,100391,81052,253630,Refused
400073,101335,63412,19634,Approved
400074,107290,132065,281200,Approved
400075,106849,216812,68477,Refused
400076,101478,83742,36012,Refused
400077,106707,97104,85482,Approved
400078,100552,77882,213848,Approved
400079,103529,223481,296936,Refused
400080,101234,4362,292889,Approved
400081,101269,42658,162235,Refused
400082,101630,251167,284910,Approved
400083,107539,143364,26991,Refused
400084,104052,64504,6504,Approved
400085,100229,44182,252384,Refused
400086,105961,93649,276874,Approved
